中文名,adcode,citycode
湖北省,420000,
武汉市,420100,027
武汉市市辖区,420101,027
江岸区,420102,027
江汉区,420103,027
硚口区,420104,027
汉阳区,420105,027
武昌区,420106,027
青山区,420107,027
洪山区,420111,027
东西湖区,420112,027
汉南区,420113,027
蔡甸区,420114,027
江夏区,420115,027
黄陂区,420116,027
新洲区,420117,027
黄石市,420200,0714
黄石市市辖区,420201,0714
黄石港区,420202,0714
西塞山区,420203,0714
下陆区,420204,0714
铁山区,420205,0714
阳新县,420222,0714
大冶市,420281,0714
十堰市,420300,0719
十堰市市辖区,420301,0719
茅箭区,420302,0719
张湾区,420303,0719
郧阳区,420304,0719
郧西县,420322,0719
竹山县,420323,0719
竹溪县,420324,0719
房县,420325,0719
丹江口市,420381,0719
宜昌市,420500,0717
宜昌市市辖区,420501,0717
西陵区,420502,0717
伍家岗区,420503,0717
点军区,420504,0717
猇亭区,420505,0717
夷陵区,420506,0717
远安县,420525,0717
兴山县,420526,0717
秭归县,420527,0717
长阳土家族自治县,420528,0717
五峰土家族自治县,420529,0717
宜都市,420581,0717
当阳市,420582,0717
枝江市,420583,0717
襄阳市,420600,0710
襄阳市市辖区,420601,0710
襄城区,420602,0710
樊城区,420606,0710
襄州区,420607,0710
南漳县,420624,0710
谷城县,420625,0710
保康县,420626,0710
老河口市,420682,0710
枣阳市,420683,0710
宜城市,420684,0710
鄂州市,420700,0711
鄂州市市辖区,420701,0711
梁子湖区,420702,0711
华容区,420703,0711
鄂城区,420704,0711
荆门市,420800,0724
荆门市市辖区,420801,0724
东宝区,420802,0724
掇刀区,420804,0724
京山市,420882,0724
沙洋县,420822,0724
钟祥市,420881,0724
孝感市,420900,0712
孝感市市辖区,420901,0712
孝南区,420902,0712
孝昌县,420921,0712
大悟县,420922,0712
云梦县,420923,0712
应城市,420981,0712
安陆市,420982,0712
汉川市,420984,0712
荆州市,421000,0716
荆州市市辖区,421001,0716
沙市区,421002,0716
荆州区,421003,0716
公安县,421022,0716
监利市,421023,0716
江陵县,421024,0716
石首市,421081,0716
洪湖市,421083,0716
松滋市,421087,0716
黄冈市,421100,0713
黄冈市市辖区,421101,0713
黄州区,421102,0713
团风县,421121,0713
红安县,421122,0713
罗田县,421123,0713
英山县,421124,0713
浠水县,421125,0713
蕲春县,421126,0713
黄梅县,421127,0713
麻城市,421181,0713
武穴市,421182,0713
咸宁市,421200,0715
咸宁市市辖区,421201,0715
咸安区,421202,0715
嘉鱼县,421221,0715
通城县,421222,0715
崇阳县,421223,0715
通山县,421224,0715
赤壁市,421281,0715
随州市,421300,0722
随州市市辖区,421301,0722
曾都区,421303,0722
随县,421321,0722
广水市,421381,0722
恩施土家族苗族自治州,422800,0718
恩施市,422801,0718
利川市,422802,0718
建始县,422822,0718
巴东县,422823,0718
宣恩县,422825,0718
咸丰县,422826,0718
来凤县,422827,0718
鹤峰县,422828,0718
仙桃市,429004,0728
潜江市,429005,2728
天门市,429006,1728
神农架林区,429021,1719
