地区,养殖产量,一、鱼类,草鱼,鲢鱼,鲫鱼,鳙鱼,鳊鲂,青鱼,鲤鱼,黄鳝,黄颡鱼,鳜鱼,泥鳅,乌鳢,鮰鱼,鲶鱼,鲟鱼,鲈鱼,罗非鱼,长吻鮠,银鱼,鳗鲡,鲌鱼,其它鱼,观赏鱼,二、甲壳类,虾 小计,青虾,克氏原螯虾,南美白对虾,其他虾,河蟹 小计,三、贝类,河蚌,螺,蚬,四、其它类,龟,鳖,蛙
湖北省,4386232,3162343,833339,498081,353832,381637,243168,181899,112000,129585,135949,69776,39891,27212,56661,18316,6454,21317,3297,1533,1525,1371,32428,13072,755,1150215,999352,8897,982010,7612,833,150863,2943,1499,1224,220,70731,8970,47620,14141
武汉市,396193,345833,104974,45699,33316,29530,40804,17250,11626,6671,14618,16697,3583,3408,4879,2939,32,1360,912,,,80,7017,438,,46625,37018,1336,34157,1374,151,9607,,,,,3735,224,1566,1945
  武汉市市辖区,74523,69462,14961,12289,10421,5809,8389,5800,891,2940,1309,3664,138,246,190,292,,340,,,,80,1361,342,,4276,2386,40,2106,90,150,1890,,,,,785,199,436,150
  新洲区,102717,94985,48404,12753,5570,6892,5748,2253,3601,1798,1719,1097,574,726,1226,1001,32,237,,,,,1354,,,6875,5129,,4596,533,,1746,,,,,857,,,857
  江夏区,63890,52477,3408,4169,6484,6752,7322,3718,2335,1796,4050,7890,,800,,782,,30,750,,,,2191,,,10663,9034,814,8204,15,1,1629,,,,,750,,,750
  蔡甸区,59743,51273,12546,6975,4523,5217,11350,1123,547,137,3698,1577,323,750,1879,332,,202,,,,,94,,,8250,6197,42,6103,52,,2053,,,,,220,,220,
  黄陂区,95320,77636,25655,9513,6318,4860,7995,4356,4252,,3842,2469,2548,886,1584,532,,551,162,,,,2017,96,,16561,14272,440,13148,684,,2289,,,,,1123,25,910,188
黄石市,190646,165835,26117,20265,22358,28792,17785,14173,4754,2505,6661,3318,6371,5148,745,2048,200,296,215,,300,,1369,2415,5,23963,22534,22,22457,55,,1429,326,20,185,121,522,106,203,213
  黄石市市辖区,2906,2756,508,531,710,240,220,91,18,6,86,51,33,45,35,23,,,30,,,,129,,,150,95,,95,,,55,,,,,,,,
  大冶市,66770,59731,13923,10712,11685,7400,5929,3362,710,87,1024,810,546,780,710,190,200,110,185,,,,218,1150,,6708,5748,,5693,55,,960,,,,,331,106,69,156
  阳新县,120970,103348,11686,9022,9963,21152,11636,10720,4026,2412,5551,2457,5792,4323,,1835,,186,,,300,,1022,1265,5,17105,16691,22,16669,,,414,326,20,185,121,191,,134,57
十堰市,18277,17270,4488,3406,1194,3964,874,228,586,46,70,66,282,12,131,158,190,380,263,,171,,380,381,16,707,689,78,605,4,2,18,129,120,3,6,171,,167,4
  十堰市市辖区,911,911,164,223,88,136,13,,42,,,35,187,,21,,,,,,,,,2,,,,,,,,,,,,,,,,
  丹江口市,10408,10288,3466,2128,690,2838,384,20,160,34,50,15,21,12,,18,,65,,,,,330,57,6,92,92,,92,,,,,,,,28,,28,
