地区,粮食作物面积,秋收粮食面积,夏收粮食,稻谷,小麦,豆类,马铃薯,早稻,中稻和一季晚稻,双季晚稻,玉米,高粱,大豆,秋薯
湖北省,4645.28,1276.06,1031.38,16.05,220.10,3369.22,2280.73,122.43,1998.97,159.33,752.00,5.07,219.71,99.13
武汉市,144.00,10.49,9.52,0.23,0.68,133.52,104.81,15.33,71.44,18.04,17.05,0.02,8.85,1.97
  武汉市市辖区,9.08,0.60,0.59,0.01,,8.48,2.95,0.03,2.86,0.06,2.91,,2.43,0.15
  蔡甸区,20.67,1.86,1.59,0.11,0.14,18.80,9.40,0.11,9.22,0.08,7.04,,1.91,0.17
  江夏区,31.33,0.65,0.61,,0.04,30.68,22.73,3.20,14.81,4.73,6.03,,1.26,0.40
  黄陂区,45.54,2.61,2.27,0.03,0.29,42.92,39.76,5.56,28.82,5.37,0.86,0.02,1.47,0.72
  新洲区,37.39,4.76,4.46,0.08,0.22,32.63,29.98,6.44,15.73,7.81,0.21,,1.78,0.52
黄石市,82.95,10.04,7.34,0.18,2.50,72.92,57.60,2.13,50.56,4.91,9.29,0.21,2.36,3.37
  黄石市市辖区,0.72,0.11,0.09,,0.02,0.61,0.46,0.06,0.33,0.07,0.11,,0.01,0.02
  大冶市,38.24,4.28,3.16,0.03,1.09,33.96,27.56,1.83,23.43,2.30,3.82,0.09,0.98,1.47
  阳新县,43.99,5.64,4.09,0.16,1.38,38.35,29.58,0.24,26.80,2.54,5.36,0.12,1.37,1.87
十堰市,210.75,76.81,52.58,5.45,18.46,133.94,23.05,,23.05,,76.81,0.81,14.88,14.20
  茅箭区,0.36,0.10,0.07,,0.03,0.25,0.01,,0.01,,0.20,,0.04,
  张湾区,0.49,0.16,0.10,,0.06,0.33,0.02,,0.02,,0.27,,0.04,
  郧阳区,49.79,23.65,21.09,0.75,1.82,26.14,2.68,,2.68,,18.43,,1.45,2.84
  竹山县,39.25,11.46,5.90,1.48,4.08,27.79,5.02,,5.02,,14.54,0.15,4.38,2.75
  竹溪县,38.06,12.06,3.51,2.20,6.06,26.00,4.99,,4.99,,11.95,0.27,4.02,3.58
  郧西县,36.36,15.42,11.08,0.75,3.59,20.94,1.95,,1.95,,12.43,0.14,2.75,2.88
  房县,24.30,4.24,2.16,0.05,2.00,20.07,4.82,,4.82,,13.21,0.16,1.45,0.16
  丹江口市,22.13,9.71,8.66,0.23,0.82,12.42,3.56,,3.56,,5.79,0.08,0.75,2.00
宜昌市,317.81,86.78,38.52,2.04,44.08,231.04,78.12,1.30,75.35,1.47,129.51,,10.11,12.56
  宜昌市市辖区,3.49,0.26,0.03,0.11,0.11,3.24,0.08,,0.08,,1.99,,0.07,1.09
  夷陵区,41.35,8.77,0.01,0.34,8.32,32.58,9.43,,9.43,,19.29,,1.43,2.38
  当阳市,83.01,20.47,4.19,0.11,1.62,62.53,32.84,,32.84,,25.13,,1.76,2.58
  枝江市,61.00,20.22,4.00,0.54,1.71,40.78,22.40,1.30,19.63,1.47,14.99,,2.57,0.81
  宜都市,21.23,4.84,0.10,0.16,4.11,16.39,4.12,,4.12,,9.23,,0.33,2.51
  远安县,14.10,2.51,0.17,0.18,1.21,11.59,6.21,,6.21,,4.64,,0.18,0.54
  兴山县,14.01,4.48,0.02,0.30,4.11,9.53,0.99,,0.99,,7.87,,0.58,0.05
  秭归县,22.67,5.55,0.23,0.07,4.36,17.12,1.01,,1.01,,15.27,,0.75,0.09
  长阳土家族自治县,29.07,8.31,0.14,0.08,7.47,20.76,0.94,,0.94,,17.78,,1.29,0.57
